game_id,season,week,gameday,team,opponent,points_for,points_against,rest_days,is_home,win,offensive_plays,off_epa_per_play,pass_plays,rush_plays,interceptions_thrown,fumbles_lost,pass_rate,turnovers,point_diff,prev_points_for,prev_points_against,prev_win,prev_off_epa_per_play,prev_turnovers,prev_point_diff,rolling_points_for_3,rolling_points_against_3,rolling_win_pct_3,rolling_off_epa_3,rolling_turnovers_3,rolling_point_diff_3,opp_rolling_points_for_3,opp_rolling_points_against_3,opp_rolling_win_pct_3,opp_rolling_off_epa_3,opp_rolling_turnovers_3,opp_rolling_point_diff_3,epa_diff_3,win_pct_diff_3,turnover_diff_3,point_diff_gap_3
2024_09_CHI_ARI,2024,9,2024-11-03,CHI,ARI,9,29,7,0,0,69,-0.22807485400687943,47,22,0,0,0.6811594202898551,0,-20,15,18,0,-0.12941421041781173,1,-3,28.666666666666668,14.666666666666666,0.6666666666666666,0.12589885065927853,0.6666666666666666,14.0,19.333333333333332,25.333333333333332,0.6666666666666666,0.06334277000907114,1.6666666666666667,-6.0,0.06255608065020739,0.0,-1.0,20.0
2024_10_NE_CHI,2024,10,2024-11-10,CHI,NE,3,19,7,1,0,59,-0.4018640639909333,39,20,0,0,0.6610169491525424,0,-16,9,29,0,-0.22807485400687943,0,-20,19.666666666666668,21.0,0.3333333333333333,-0.02158044512288405,0.6666666666666666,-1.3333333333333333,19.333333333333332,24.666666666666668,0.3333333333333333,0.0073643796884413915,1.0,-5.333333333333333,-0.028944824811325442,0.0,-0.33333333333333337,4.0
2024_11_GB_CHI,2024,11,2024-11-17,CHI,GB,19,20,7,1,0,69,0.20041244266002994,35,34,0,0,0.5072463768115942,0,-1,3,19,0,-0.4018640639909333,0,-16,9.0,22.0,0.0,-0.25311770947187484,0.3333333333333333,-13.0,22.666666666666668,24.333333333333332,0.6666666666666666,0.005229644901500405,1.3333333333333333,-1.6666666666666667,-0.25834735437337525,-0.6666666666666666,-1.0,-11.333333333333334
2024_12_MIN_CHI,2024,12,2024-11-24,CHI,MIN,27,30,7,1,0,74,0.06028022992501862,52,22,0,0,0.7027027027027027,0,-3,19,20,0,0.20041244266002994,0,-1,10.333333333333334,22.666666666666668,0.0,-0.14317549177926092,0.0,-12.333333333333334,18.666666666666668,11.0,1.0,-0.03306899700604794,2.3333333333333335,7.666666666666667,-0.11010649477321298,-1.0,-2.3333333333333335,-20.0
2024_13_CHI_DET,2024,13,2024-11-28,CHI,DET,20,23,4,0,0,59,-0.009250351456455667,44,15,0,0,0.7457627118644068,0,-3,27,30,0,0.06028022992501862,0,-3,16.333333333333332,23.0,0.0,-0.04705713046862823,0.0,-6.666666666666667,34.0,11.666666666666666,1.0,0.20142286599465198,1.6666666666666667,22.333333333333332,-0.2484799964632802,-1.0,-1.6666666666666667,-29.0
2024_14_CHI_SF,2024,14,2024-12-08,CHI,SF,13,38,10,0,0,53,-0.1547104220890598,32,21,0,1,0.6037735849056604,1,-25,20,23,0,-0.009250351456455667,0,-3,22.0,24.333333333333332,0.0,0.08381410704286431,0.0,-2.3333333333333335,12.333333333333334,31.0,0.0,-0.1882721482704306,2.0,-18.666666666666668,0.2720862553132949,0.0,-2.0,16.333333333333336
2024_15_CHI_MIN,2024,15,2024-12-16,CHI,MIN,12,30,8,0,0,63,-0.2101805232369646,35,28,0,1,0.5555555555555556,1,-18,13,38,0,-0.1547104220890598,1,-25,20.0,30.333333333333332,0.0,-0.03456018120683227,0.3333333333333333,-10.333333333333334,31.666666666666668,23.333333333333332,1.0,0.154476570712244,0.6666666666666666,8.333333333333334,-0.18903675191907626,-1.0,-0.3333333333333333,-18.666666666666668
2024_16_DET_CHI,2024,16,2024-12-22,CHI,DET,17,34,6,1,0,59,0.014175742925806253,42,17,0,2,0.711864406779661,2,-17,12,30,0,-0.2101805232369646,1,-18,15.0,30.333333333333332,0.0,-0.12471376559415999,0.6666666666666666,-15.333333333333334,33.0,33.0,0.6666666666666666,0.13098816179539086,1.0,0.0,-0.25570192738955083,-0.6666666666666666,-0.33333333333333337,-15.333333333333334
2024_17_SEA_CHI,2024,17,2024-12-26,CHI,SEA,3,6,4,1,0,58,-0.20850898979649193,35,23,1,0,0.603448275862069,1,-3,17,34,0,0.014175742925806253,2,-17,14.0,34.0,0.0,-0.11690506746673938,1.3333333333333333,-20.0,22.333333333333332,25.0,0.3333333333333333,-0.0486521541568131,1.3333333333333333,-2.6666666666666665,-0.06825291330992628,-0.3333333333333333,0.0,-17.333333333333332
2024_18_CHI_GB,2024,18,2025-01-05,CHI,GB,24,22,10,0,1,56,-0.17034980808239197,30,26,1,1,0.5357142857142857,2,2,3,6,0,-0.20850898979649193,1,-3,10.666666666666666,23.333333333333332,0.0,-0.13483792336921674,1.3333333333333333,-12.666666666666666,29.666666666666668,13.333333333333334,0.6666666666666666,0.10061721500310412,0.6666666666666666,16.333333333333332,-0.23545513837232085,-0.6666666666666666,0.6666666666666666,-29.0
2025_01_MIN_CHI,2025,1,2025-09-08,CHI,MIN,24,27,7,1,0,63,-0.07139121302123265,37,26,0,1,0.5873015873015873,1,-3,24,22,1,-0.17034980808239197,2,2,14.666666666666666,20.666666666666668,0.3333333333333333,-0.12156101831769255,1.6666666666666667,-6.0,21.0,26.666666666666668,0.6666666666666666,-0.05021676828966876,0.3333333333333333,-5.666666666666667,-0.07134425002802378,-0.3333333333333333,1.3333333333333335,-0.33333333333333304
2025_02_CHI_DET,2025,2,2025-09-14,CHI,DET,21,52,6,0,0,64,-0.16596288634355005,37,27,1,1,0.578125,2,-31,24,27,0,-0.07139121302123265,1,-3,17.0,18.333333333333332,0.3333333333333333,-0.1500833369667055,1.3333333333333333,-1.3333333333333333,28.0,23.333333333333332,0.6666666666666666,0.11274682329451009,1.0,4.666666666666667,-0.2628301602612156,-0.3333333333333333,0.33333333333333326,-6.0
2025_03_DAL_CHI,2025,3,2025-09-21,CHI,DAL,31,14,7,1,1,55,0.3017187412359374,28,27,0,0,0.509090909090909,0,17,21,52,0,-0.16596288634355005,2,-31,23.0,33.666666666666664,0.3333333333333333,-0.13590130248239154,1.6666666666666667,-10.666666666666666,26.333333333333332,28.0,0.3333333333333333,0.041740517756221764,0.6666666666666666,-1.6666666666666667,-0.1776418202386133,0.0,1.0,-9.0
